date,pv_kwh
2025-09-01,31.80
2025-09-02,38.70
2025-09-03,23.30
2025-09-04,20.00
2025-09-05,35.00
2025-09-06,32.80
2025-09-07,27.90
2025-09-08,38.40
2025-09-09,36.50
2025-09-10,27.40
2025-09-11,25.40
2025-09-12,34.70
2025-09-13,30.10
2025-09-14,17.60
2025-09-15,13.70
2025-09-16,27.10
2025-09-17,29.20
2025-09-18,26.30
2025-09-19,19.30
2025-09-20,6.20
2025-09-21,35.90
2025-09-22,36.10
2025-09-23,22.50
2025-09-24,27.70
2025-09-25,31.50
2025-09-26,14.70
2025-09-27,19.10
2025-09-28,25.60
2025-09-29,22.30
2025-09-30,23.80
2025-10-01,11.90
2025-10-02,17.20
2025-10-03,6.20
2025-10-04,14.00
2025-10-05,23.20
2025-10-06,22.20
2025-10-07,10.80
2025-10-08,21.70
2025-10-09,19.60
2025-10-10,12.50
2025-10-11,20.20
2025-10-12,19.40
2025-10-13,7.10
2025-10-14,8.00
2025-10-15,8.50
2025-10-16,10.10
2025-10-17,5.70
2025-10-18,8.70
2025-10-19,10.10
2025-10-20,11.40
2025-10-21,12.50
2025-10-22,13.40
2025-10-23,9.80
2025-10-24,13.20
2025-10-25,12.20
2025-10-26,9.70
2025-10-27,11.70
2025-10-28,9.70
2025-10-29,10.40
2025-10-30,10.30
2025-10-31,9.30
2025-11-01,9.70
2025-11-02,8.90
2025-11-03,6.10
2025-11-04,8.80
2025-11-05,6.60
2025-11-06,7.50
2025-11-07,5.20
2025-11-08,7.20
2025-11-09,8.00
2025-11-10,4.10
2025-11-11,3.40
2025-11-12,3.90
2025-11-13,6.30
2025-11-14,2.50
2025-11-15,2.50
2025-11-16,6.40
2025-11-17,4.90
2025-11-18,2.90
2025-11-19,6.60
2025-11-20,5.60
2025-11-21,4.50
2025-11-22,3.00
2025-11-23,4.70
2025-11-24,5.00
2025-11-25,4.10
2025-11-26,5.10
2025-11-27,3.60
2025-11-28,4.40
2025-11-29,2.40
2025-11-30,2.90
2025-12-01,2.30
2025-12-02,3.10
2025-12-03,4.60
2025-12-04,1.90
2025-12-05,5.50
2025-12-06,5.90
2025-12-07,2.30
2025-12-08,3.90
2025-12-09,1.30
2025-12-10,3.60
2025-12-11,4.80
2025-12-12,2.00
2025-12-13,4.10
2025-12-14,3.90
2025-12-15,1.30
2025-12-16,4.20
2025-12-17,2.50
2025-12-18,1.30
2025-12-19,3.20
2025-12-20,2.60
2025-12-21,1.80
2025-12-22,2.80
2025-12-23,0.90
2025-12-24,3.30
2025-12-25,4.80
2025-12-26,3.00
2025-12-27,3.10
2025-12-28,2.80
2025-12-29,3.20
2025-12-30,3.80
2025-12-31,2.80
2026-01-01,4.50
2026-01-02,2.70
2026-01-03,2.70
2026-01-04,2.50
2026-01-05,3.90
2026-01-06,4.40
2026-01-07,3.20
2026-01-08,5.20
2026-01-09,3.40
2026-01-10,2.00
2026-01-11,0.90
2026-01-12,4.40
2026-01-13,3.30
2026-01-14,4.10
2026-01-15,3.90
2026-01-16,5.30
2026-01-17,3.00
2026-01-18,1.00
2026-01-19,2.80
2026-01-20,5.20
2026-01-21,3.20
2026-01-22,2.10
2026-01-23,4.00
2026-01-24,5.50
2026-01-25,1.60
2026-01-26,1.90
2026-01-27,0.70
2026-01-28,7.20
2026-01-29,3.20
2026-01-30,1.70
2026-01-31,5.30
2026-02-01,6.60
2026-02-02,2.80
2026-02-03,0.90
2026-02-04,3.80
2026-02-05,1.00
2026-02-06,3.30
2026-02-07,4.90
2026-02-08,8.60
2026-02-09,7.30
2026-02-10,2.70
2026-02-11,6.60
2026-02-12,6.50
2026-02-13,5.60
2026-02-14,11.70
2026-02-15,7.10
2026-02-16,13.60
2026-02-17,12.00
2026-02-18,12.20
2026-02-19,4.50
2026-02-20,8.80
2026-02-21,9.50
2026-02-22,12.80
2026-02-23,15.60
2026-02-24,15.00
2026-02-25,16.00
2026-02-26,8.00
2026-02-27,11.90
2026-02-28,17.50
2026-03-01,16.20
2026-03-02,14.40
2026-03-03,20.10
2026-03-04,19.10
2026-03-05,19.40
2026-03-06,9.60
2026-03-07,10.70
2026-03-08,9.50
2026-03-09,9.70
2026-03-10,15.30
2026-03-11,21.50
2026-03-12,12.60
2026-03-13,21.30
2026-03-14,25.40
2026-03-15,18.60
2026-03-16,15.60
2026-03-17,29.60
2026-03-18,29.40
2026-03-19,26.10
2026-03-20,12.90
2026-03-21,24.90
2026-03-22,25.20
2026-03-23,26.50
2026-03-24,19.30
2026-03-25,36.50
2026-03-26,33.40
2026-03-27,29.70
2026-03-28,41.00
2026-03-29,18.40
2026-03-30,31.10
2026-03-31,37.40
2026-04-01,16.50
2026-04-02,41.80
2026-04-03,18.40
2026-04-04,23.60
2026-04-05,43.90
2026-04-06,47.20
2026-04-07,46.90
2026-04-08,46.20
2026-04-09,23.20
2026-04-10,50.90
2026-04-11,34.80
2026-04-12,36.40
2026-04-13,47.70
2026-04-14,34.80
2026-04-15,27.10
2026-04-16,45.00
2026-04-17,23.10
2026-04-18,48.20
2026-04-19,44.80
2026-04-20,34.30
2026-04-21,58.10
2026-04-22,58.70
2026-04-23,59.70
2026-04-24,60.50
2026-04-25,57.50
2026-04-26,53.60
2026-04-27,41.10
2026-04-28,52.00
2026-04-29,61.80
2026-04-30,62.10
2026-05-01,54.90
2026-05-02,51.30
2026-05-03,9.60
2026-05-04,50.80
2026-05-05,35.60
2026-05-06,46.00
2026-05-07,41.30
2026-05-08,44.30
2026-05-09,24.10
2026-05-10,53.50
2026-05-11,43.40
2026-05-12,47.70
2026-05-13,48.50
2026-05-14,48.00
2026-05-15,49.60
2026-05-16,41.60
2026-05-17,49.60
2026-05-18,48.10
2026-05-19,32.40
2026-05-20,43.80
2026-05-21,37.59
2026-05-22,58.38
2026-05-23,62.38
2026-05-24,68.49
2026-05-25,63.49
2026-05-26,63.68
2026-05-27,67.78
2026-05-28,59.49
2026-05-29,63.78
2026-05-30,67.58
2026-05-31,51.68
2026-06-01,29.59
2026-06-02,50.78
2026-06-03,42.49
2026-06-04,45.49
2026-06-05,58.08
2026-06-06,34.89
2026-06-07,48.39
2026-06-08,64.99
2026-06-09,55.19
2026-06-10,57.59
2026-06-11,24.59
2026-06-12,58.38
2026-06-13,43.50
2026-06-14,53.08
2026-06-15,48.48
2026-06-16,40.79
2026-06-17,61.39
2026-06-18,51.78
2026-06-19,56.59
2026-06-20,63.98
2026-06-21,66.18
2026-06-22,63.98
2026-06-23,59.59
2026-06-24,67.68
2026-06-25,66.39
2026-06-26,64.98
2026-06-27,59.78
2026-06-28,51.58
2026-06-29,50.49
2026-06-30,49.69
2026-07-01,49.78
2026-07-02,69.58
2026-07-03,50.19
2026-07-04,51.69
2026-07-05,41.29
2026-07-06,50.09
2026-07-07,65.38
2026-07-08,64.88
2026-07-09,66.39
2026-07-10,65.38
2026-07-11,65.78
2026-07-12,68.19
2026-07-13,69.79
2026-07-14,58.88
2026-07-15,61.29
2026-07-16,65.48
2026-07-17,33.99
2026-07-18,33.79
2026-07-19,65.39
2026-07-20,63.38
2026-07-21,49.58
2026-07-22,42.99
2026-07-23,49.80
2026-07-24,64.20
2026-07-25,43.90
2026-07-26,57.90
2026-07-27,43.10
2026-07-28,49.10
2026-07-29,47.40
2026-07-30,54.80
2026-07-31,41.50
2026-08-01,51.60
2026-08-02,50.90
2026-08-03,53.70
2026-08-04,36.40
2026-08-05,41.30
2026-08-06,23.30
2026-08-07,43.50
2026-08-08,55.60
2026-08-09,37.10
2026-08-10,56.20
2026-08-11,54.50
2026-08-12,54.00
2026-08-13,47.90
2026-08-14,48.10
2026-08-15,40.60
2026-08-16,28.40
2026-08-17,21.10
2026-08-18,33.70
2026-08-19,38.90
2026-08-20,21.70
2026-08-21,31.50
2026-08-22,44.80
2026-08-23,47.40
2026-08-24,38.30
2026-08-25,38.70
2026-08-26,38.20
2026-08-27,15.30
2026-08-28,27.70
2026-08-29,24.20
2026-08-30,27.00
2026-08-31,35.20
